rack_id,row,col,pod,rack_type,it_power_kw,hcr,x_m,y_m
R01C01,1,1,A,Support/Network,20,0,0.0,0.0
R01C02,1,2,A,GB200-like Compute,120,0.85,0.8,0.0
R01C03,1,3,A,GB200-like Compute,120,0.85,1.6,0.0
R01C04,1,4,A,GB200-like Compute,120,0.85,2.4000000000000004,0.0
R01C05,1,5,A,GB200-like Compute,120,0.85,3.2,0.0
R01C06,1,6,A,GB200-like Compute,120,0.85,4.0,0.0
R01C07,1,7,A,GB200-like Compute,120,0.85,4.800000000000001,0.0
R01C08,1,8,A,Support/Network,20,0,5.6000000000000005,0.0
R02C01,2,1,A,GB200-like Compute,120,0.85,0.0,2.2
R02C02,2,2,A,GB200-like Compute,120,0.85,0.8,2.2
R02C03,2,3,A,GB200-like Compute,120,0.85,1.6,2.2
R02C04,2,4,A,GB200-like Compute,120,0.85,2.4000000000000004,2.2
R02C05,2,5,A,GB200-like Compute,120,0.85,3.2,2.2
R02C06,2,6,A,GB200-like Compute,120,0.85,4.0,2.2
R02C07,2,7,A,GB200-like Compute,120,0.85,4.800000000000001,2.2
R02C08,2,8,A,GB200-like Compute,120,0.85,5.6000000000000005,2.2
R03C01,3,1,B,Support/Network,20,0,0.0,4.4
R03C02,3,2,B,GB200-like Compute,120,0.85,0.8,4.4
R03C03,3,3,B,GB200-like Compute,120,0.85,1.6,4.4
R03C04,3,4,B,GB200-like Compute,120,0.85,2.4000000000000004,4.4
R03C05,3,5,B,GB200-like Compute,120,0.85,3.2,4.4
R03C06,3,6,B,GB200-like Compute,120,0.85,4.0,4.4
R03C07,3,7,B,GB200-like Compute,120,0.85,4.800000000000001,4.4
R03C08,3,8,B,Support/Network,20,0,5.6000000000000005,4.4
R04C01,4,1,B,GB200-like Compute,120,0.85,0.0,6.6000000000000005
R04C02,4,2,B,GB200-like Compute,120,0.85,0.8,6.6000000000000005
R04C03,4,3,B,GB200-like Compute,120,0.85,1.6,6.6000000000000005
R04C04,4,4,B,GB200-like Compute,120,0.85,2.4000000000000004,6.6000000000000005
R04C05,4,5,B,GB200-like Compute,120,0.85,3.2,6.6000000000000005
R04C06,4,6,B,GB200-like Compute,120,0.85,4.0,6.6000000000000005
R04C07,4,7,B,GB200-like Compute,120,0.85,4.800000000000001,6.6000000000000005
R04C08,4,8,B,Support/Network,20,0,5.6000000000000005,6.6000000000000005
R05C01,5,1,C,Support/Network,20,0,0.0,8.8
R05C02,5,2,C,GB200-like Compute,120,0.85,0.8,8.8
R05C03,5,3,C,GB200-like Compute,120,0.85,1.6,8.8
R05C04,5,4,C,GB200-like Compute,120,0.85,2.4000000000000004,8.8
R05C05,5,5,C,GB200-like Compute,120,0.85,3.2,8.8
R05C06,5,6,C,GB200-like Compute,120,0.85,4.0,8.8
R05C07,5,7,C,GB200-like Compute,120,0.85,4.800000000000001,8.8
R05C08,5,8,C,GB200-like Compute,120,0.85,5.6000000000000005,8.8
R06C01,6,1,C,Support/Network,20,0,0.0,11.0
R06C02,6,2,C,GB200-like Compute,120,0.85,0.8,11.0
R06C03,6,3,C,GB200-like Compute,120,0.85,1.6,11.0
R06C04,6,4,C,GB200-like Compute,120,0.85,2.4000000000000004,11.0
R06C05,6,5,C,GB200-like Compute,120,0.85,3.2,11.0
R06C06,6,6,C,GB200-like Compute,120,0.85,4.0,11.0
R06C07,6,7,C,GB200-like Compute,120,0.85,4.800000000000001,11.0
R06C08,6,8,C,Support/Network,20,0,5.6000000000000005,11.0
