rack_id,pod,rack_type,it_power_kw,hcr,row,col
R001,P1,Support,20.0,0.0,1,1
R002,P1,Compute,120.0,0.85,1,2
R003,P1,Compute,120.0,0.85,1,3
R004,P1,Compute,120.0,0.85,1,4
R005,P1,Compute,120.0,0.85,1,5
R006,P1,Compute,120.0,0.85,1,6
R007,P1,Compute,120.0,0.85,1,7
R008,P1,Compute,120.0,0.85,1,8
R009,P1,Support,20.0,0.0,2,1
R010,P1,Compute,120.0,0.85,2,2
R011,P1,Compute,120.0,0.85,2,3
R012,P1,Compute,120.0,0.85,2,4
R013,P1,Compute,120.0,0.85,2,5
R014,P1,Compute,120.0,0.85,2,6
R015,P1,Compute,120.0,0.85,2,7
R016,P1,Compute,120.0,0.85,2,8
R017,P2,Support,20.0,0.0,3,1
R018,P2,Compute,120.0,0.85,3,2
R019,P2,Compute,120.0,0.85,3,3
R020,P2,Compute,120.0,0.85,3,4
R021,P2,Compute,120.0,0.85,3,5
R022,P2,Compute,120.0,0.85,3,6
R023,P2,Compute,120.0,0.85,3,7
R024,P2,Compute,120.0,0.85,3,8
R025,P2,Support,20.0,0.0,4,1
R026,P2,Compute,120.0,0.85,4,2
R027,P2,Compute,120.0,0.85,4,3
R028,P2,Compute,120.0,0.85,4,4
R029,P2,Compute,120.0,0.85,4,5
R030,P2,Compute,120.0,0.85,4,6
R031,P2,Compute,120.0,0.85,4,7
R032,P2,Compute,120.0,0.85,4,8
R033,P3,Support,20.0,0.0,5,1
R034,P3,Compute,120.0,0.85,5,2
R035,P3,Compute,120.0,0.85,5,3
R036,P3,Compute,120.0,0.85,5,4
R037,P3,Compute,120.0,0.85,5,5
R038,P3,Compute,120.0,0.85,5,6
R039,P3,Compute,120.0,0.85,5,7
R040,P3,Compute,120.0,0.85,5,8
R041,P3,Support,20.0,0.0,6,1
R042,P3,Compute,120.0,0.85,6,2
R043,P3,Compute,120.0,0.85,6,3
R044,P3,Compute,120.0,0.85,6,4
R045,P3,Compute,120.0,0.85,6,5
R046,P3,Compute,120.0,0.85,6,6
R047,P3,Compute,120.0,0.85,6,7
R048,P3,Compute,120.0,0.85,6,8
R049,P4,Support,20.0,0.0,7,1
R050,P4,Compute,120.0,0.85,7,2
R051,P4,Compute,120.0,0.85,7,3
R052,P4,Compute,120.0,0.85,7,4
R053,P4,Compute,120.0,0.85,7,5
R054,P4,Compute,120.0,0.85,7,6
R055,P4,Compute,120.0,0.85,7,7
R056,P4,Compute,120.0,0.85,7,8
R057,P4,Support,20.0,0.0,8,1
R058,P4,Compute,120.0,0.85,8,2
R059,P4,Compute,120.0,0.85,8,3
R060,P4,Compute,120.0,0.85,8,4
R061,P4,Compute,120.0,0.85,8,5
R062,P4,Compute,120.0,0.85,8,6
R063,P4,Compute,120.0,0.85,8,7
R064,P4,Compute,120.0,0.85,8,8
